book,chapter,token_count
2 Corinthians,9,986
2 Corinthians,10,1075
2 Corinthians,11,1814
2 Corinthians,12,1588
2 Corinthians,13,866
1 Timothy,1,1199
1 Timothy,2,661
1 Timothy,3,835
1 Timothy,4,743
1 Timothy,5,1243
1 Timothy,6,1233
2 Timothy,1,1062
2 Timothy,2,1334
2 Timothy,3,865
2 Timothy,4,1090
1 Peter,1,1611
1 Peter,2,1461
1 Peter,3,1366
1 Peter,4,1112
1 Peter,5,808
2 Peter,1,1243
2 Peter,2,1451
2 Peter,3,1166
Lamentations,1,1904
Lamentations,2,2099
Lamentations,3,2202
Lamentations,4,1457
Lamentations,5,868
1 Thessalonians,1,721
1 Thessalonians,2,1366
1 Thessalonians,3,861
1 Thessalonians,4,989
1 Thessalonians,5,1105
2 Thessalonians,1,807
2 Thessalonians,2,951
2 Thessalonians,3,912
